group_id,focal ID,conspecific_ID,stage,paired_status,session_number,pair_id,sex,n_seq,n_unique_sequences,embedding_1,embedding_2,embedding_method
67,Olympia,Tabor,before,non-partner,6.0,Wuschel-Olympia,female,7,2,10.337659,11.439097,UMAP
68,Olympia,Wuschel,after,partner,2.0,Wuschel-Olympia,female,6,2,-1.7281001,-2.9028337,UMAP
69,Olympia,Wuschel,before,partner,3.0,Wuschel-Olympia,female,9,4,1.2415205,9.404507,UMAP
70,Olympia,Wuschel,before,partner,4.0,Wuschel-Olympia,female,5,3,-1.6854076,-2.595053,UMAP
71,Olympia,Wuschel,before,partner,5.0,Wuschel-Olympia,female,22,3,1.0695553,9.016271,UMAP
72,Olympia,Wuschel,before,partner,6.0,Wuschel-Olympia,female,10,2,-2.0468204,-3.119682,UMAP
73,Tabor,Lola,after,partner,3.0,Tabor-Lola,male,8,6,11.29678,8.72666,UMAP
74,Tabor,Lola,after,partner,5.0,Tabor-Lola,male,9,5,11.730357,8.854705,UMAP
75,Tabor,Lola,before,partner,3.0,Tabor-Lola,male,16,8,8.0708685,10.473747,UMAP
76,Tabor,Lola,before,partner,6.0,Tabor-Lola,male,7,6,9.79192,10.244585,UMAP
77,Tabor,Nougatti,after,non-partner,2.0,Tabor-Lola,male,20,15,12.068578,9.096248,UMAP
78,Tabor,Nougatti,after,non-partner,3.0,Tabor-Lola,male,8,8,11.557929,9.452162,UMAP
79,Tabor,Nougatti,after,non-partner,4.0,Tabor-Lola,male,8,5,13.141353,9.415104,UMAP
80,Tabor,Nougatti,after,non-partner,5.0,Tabor-Lola,male,9,7,11.417715,10.216402,UMAP
81,Tabor,Nougatti,after,non-partner,6.0,Tabor-Lola,male,7,7,11.357669,10.007803,UMAP
82,Tabor,Nougatti,before,non-partner,4.0,Tabor-Lola,male,5,4,9.832908,11.389673,UMAP
83,Tabor,Nougatti,before,non-partner,6.0,Tabor-Lola,male,18,8,11.452451,9.027328,UMAP
84,Tabor,Olympia,after,non-partner,2.0,Tabor-Lola,male,11,10,1.6086305,8.028128,UMAP
85,Tabor,Olympia,after,non-partner,3.0,Tabor-Lola,male,14,10,13.159356,9.572542,UMAP
86,Tabor,Olympia,after,non-partner,4.0,Tabor-Lola,male,21,10,12.423052,9.001497,UMAP
87,Tabor,Olympia,after,non-partner,5.0,Tabor-Lola,male,11,5,13.079003,9.656686,UMAP
88,Tabor,Olympia,after,non-partner,6.0,Tabor-Lola,male,14,10,12.136701,9.191006,UMAP
89,Tabor,Olympia,before,non-partner,4.0,Tabor-Lola,male,6,3,13.274532,9.585798,UMAP
90,Tabor,Olympia,before,non-partner,5.0,Tabor-Lola,male,13,7,12.053584,8.714753,UMAP
91,Wuschel,Lola,after,non-partner,3.0,Wuschel-Olympia,male,15,3,0.5224177,8.317436,UMAP
92,Wuschel,Lola,after,non-partner,5.0,Wuschel-Olympia,male,12,3,-2.1421645,-2.984444,UMAP
93,Wuschel,Lola,after,non-partner,6.0,Wuschel-Olympia,male,9,3,-2.1493185,-2.7185054,UMAP
94,Wuschel,Lola,before,non-partner,2.0,Wuschel-Olympia,male,11,6,2.200672,8.675081,UMAP
95,Wuschel,Lola,before,non-partner,3.0,Wuschel-Olympia,male,6,3,13.103677,9.902548,UMAP
96,Wuschel,Lola,before,non-partner,4.0,Wuschel-Olympia,male,10,5,9.891121,11.121166,UMAP
97,Wuschel,Nougatti,after,non-partner,4.0,Wuschel-Olympia,male,10,4,1.0247539,9.465638,UMAP
98,Wuschel,Nougatti,before,non-partner,2.0,Wuschel-Olympia,male,10,4,1.5561174,9.467676,UMAP
99,Wuschel,Nougatti,before,non-partner,4.0,Wuschel-Olympia,male,5,3,9.906128,11.279396,UMAP
100,Wuschel,Nougatti,before,non-partner,5.0,Wuschel-Olympia,male,8,6,12.000498,10.674386,UMAP
101,Wuschel,Olympia,after,partner,3.0,Wuschel-Olympia,male,5,3,12.214872,10.499331,UMAP
102,Wuschel,Olympia,after,partner,4.0,Wuschel-Olympia,male,21,8,11.718133,11.221695,UMAP
103,Wuschel,Olympia,before,partner,1.0,Wuschel-Olympia,male,19,10,0.35524634,8.135945,UMAP
104,Wuschel,Olympia,before,partner,3.0,Wuschel-Olympia,male,11,6,9.805787,11.318442,UMAP
105,Wuschel,Olympia,before,partner,5.0,Wuschel-Olympia,male,18,2,-2.4311337,-2.9926023,UMAP
106,Wuschel,Olympia,before,partner,6.0,Wuschel-Olympia,male,18,3,-2.4202328,-2.4605665,UMAP
