border_order,border_side,group_id,focal ID,conspecific_ID,stage,paired_status,session_number,pair_id,selection_reason,sequence_order,exact_sequence,count
11,bottom,26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,individual-stage centroid-nearest,9,AAAPP,1
11,bottom,26,Nougatti,Tabor,after,non-partner,6.0,Odin-Nougatti,individual-stage centroid-nearest,10,AAAPPP,1
12,bottom,64,Olympia,Odin,after,non-partner,3.0,Wuschel-Olympia,individual-stage centroid-nearest,1,AA,6
12,bottom,64,Olympia,Odin,after,non-partner,3.0,Wuschel-Olympia,individual-stage centroid-nearest,2,AP,1
13,left,101,Wuschel,Olympia,after,partner,3.0,Wuschel-Olympia,individual-stage centroid-nearest,1,AA,2
13,left,101,Wuschel,Olympia,after,partner,3.0,Wuschel-Olympia,individual-stage centroid-nearest,2,AAA,2
13,left,101,Wuschel,Olympia,after,partner,3.0,Wuschel-Olympia,individual-stage centroid-nearest,3,AAAPS,1
14,left,87,Tabor,Olympia,after,non-partner,5.0,Tabor-Lola,balanced farthest-point coverage,1,AAA,7
14,left,87,Tabor,Olympia,after,non-partner,5.0,Tabor-Lola,balanced farthest-point coverage,2,AA,1
14,left,87,Tabor,Olympia,after,non-partner,5.0,Tabor-Lola,balanced farthest-point coverage,3,AAAA,1
14,left,87,Tabor,Olympia,after,non-partner,5.0,Tabor-Lola,balanced farthest-point coverage,4,AAAPS,1
14,left,87,Tabor,Olympia,after,non-partner,5.0,Tabor-Lola,balanced farthest-point coverage,5,AAAPPS,1
15,left,69,Olympia,Wuschel,before,partner,3.0,Wuschel-Olympia,individual-stage centroid-nearest,1,AA,6
15,left,69,Olympia,Wuschel,before,partner,3.0,Wuschel-Olympia,individual-stage centroid-nearest,2,AAA,1
15,left,69,Olympia,Wuschel,before,partner,3.0,Wuschel-Olympia,individual-stage centroid-nearest,3,AAP,1
15,left,69,Olympia,Wuschel,before,partner,3.0,Wuschel-Olympia,individual-stage centroid-nearest,4,APPAA,1
16,left,3,Lola,Odin,after,non-partner,5.0,Tabor-Lola,individual-stage centroid-nearest,1,AA,3
16,left,3,Lola,Odin,after,non-partner,5.0,Tabor-Lola,individual-stage centroid-nearest,2,AAA,3
16,left,3,Lola,Odin,after,non-partner,5.0,Tabor-Lola,individual-stage centroid-nearest,3,AAPPS,1
