group_id,focal ID,conspecific_ID,stage,paired_status,session_number,pair_id,sex,n_seq,n_unique_sequences,embedding_1,embedding_2,embedding_method
97,Wuschel,Nougatti,after,non-partner,4.0,Wuschel-Olympia,male,10,4,3.704354,0.54704654,PaCMAP
98,Wuschel,Nougatti,before,non-partner,2.0,Wuschel-Olympia,male,10,4,2.117128,0.04305946,PaCMAP
99,Wuschel,Nougatti,before,non-partner,4.0,Wuschel-Olympia,male,5,3,4.4495096,0.8143833,PaCMAP
100,Wuschel,Nougatti,before,non-partner,5.0,Wuschel-Olympia,male,8,6,-3.597827,-0.05929124,PaCMAP
101,Wuschel,Olympia,after,partner,3.0,Wuschel-Olympia,male,5,3,3.8648818,0.5724577,PaCMAP
102,Wuschel,Olympia,after,partner,4.0,Wuschel-Olympia,male,21,8,1.7694595,-0.84890497,PaCMAP
103,Wuschel,Olympia,before,partner,1.0,Wuschel-Olympia,male,19,10,-2.5986214,-0.36652586,PaCMAP
104,Wuschel,Olympia,before,partner,3.0,Wuschel-Olympia,male,11,6,-0.08723137,-0.47352764,PaCMAP
105,Wuschel,Olympia,before,partner,5.0,Wuschel-Olympia,male,18,2,4.4328876,0.8209716,PaCMAP
106,Wuschel,Olympia,before,partner,6.0,Wuschel-Olympia,male,18,3,2.5774467,-0.16702251,PaCMAP
