group_id,focal ID,conspecific_ID,stage,paired_status,session_number,pair_id,sex,n_seq,n_unique_sequences,embedding_1,embedding_2,embedding_method
80,Tabor,Nougatti,after,non-partner,5.0,Tabor-Lola,male,9,7,-1.9065804,1.0037339,PaCMAP
81,Tabor,Nougatti,after,non-partner,6.0,Tabor-Lola,male,7,7,-1.4890606,0.18070588,PaCMAP
82,Tabor,Nougatti,before,non-partner,4.0,Tabor-Lola,male,5,4,-0.52095497,-1.2239667,PaCMAP
83,Tabor,Nougatti,before,non-partner,6.0,Tabor-Lola,male,18,8,0.050054647,-1.0056559,PaCMAP
84,Tabor,Olympia,after,non-partner,2.0,Tabor-Lola,male,11,10,3.0731425,-0.21073177,PaCMAP
85,Tabor,Olympia,after,non-partner,3.0,Tabor-Lola,male,14,10,1.4205009,1.6383146,PaCMAP
86,Tabor,Olympia,after,non-partner,4.0,Tabor-Lola,male,21,10,-2.6964588,1.8647836,PaCMAP
87,Tabor,Olympia,after,non-partner,5.0,Tabor-Lola,male,11,5,-3.0895176,-0.46635246,PaCMAP
88,Tabor,Olympia,after,non-partner,6.0,Tabor-Lola,male,14,10,-2.717699,2.163282,PaCMAP
89,Tabor,Olympia,before,non-partner,4.0,Tabor-Lola,male,6,3,-0.097017884,-1.4651123,PaCMAP
90,Tabor,Olympia,before,non-partner,5.0,Tabor-Lola,male,13,7,-2.6159513,2.1923974,PaCMAP
91,Wuschel,Lola,after,non-partner,3.0,Wuschel-Olympia,male,15,3,-4.359929,-1.9697012,PaCMAP
92,Wuschel,Lola,after,non-partner,5.0,Wuschel-Olympia,male,12,3,-4.316692,-1.9359097,PaCMAP
93,Wuschel,Lola,after,non-partner,6.0,Wuschel-Olympia,male,9,3,-2.9137938,-1.5300182,PaCMAP
94,Wuschel,Lola,before,non-partner,2.0,Wuschel-Olympia,male,11,6,-2.3515449,0.85346955,PaCMAP
95,Wuschel,Lola,before,non-partner,3.0,Wuschel-Olympia,male,6,3,-3.7951488,-1.6482711,PaCMAP
96,Wuschel,Lola,before,non-partner,4.0,Wuschel-Olympia,male,10,5,3.282272,-0.1801185,PaCMAP
97,Wuschel,Nougatti,after,non-partner,4.0,Wuschel-Olympia,male,10,4,-0.57666326,-1.0780108,PaCMAP
98,Wuschel,Nougatti,before,non-partner,2.0,Wuschel-Olympia,male,10,4,3.1839056,0.05422563,PaCMAP
99,Wuschel,Nougatti,before,non-partner,4.0,Wuschel-Olympia,male,5,3,-4.3257456,-1.9469491,PaCMAP
100,Wuschel,Nougatti,before,non-partner,5.0,Wuschel-Olympia,male,8,6,-2.3019497,1.8346121,PaCMAP
101,Wuschel,Olympia,after,partner,3.0,Wuschel-Olympia,male,5,3,-3.2408552,-1.2373891,PaCMAP
102,Wuschel,Olympia,after,partner,4.0,Wuschel-Olympia,male,21,8,-2.81263,1.9780248,PaCMAP
103,Wuschel,Olympia,before,partner,1.0,Wuschel-Olympia,male,19,10,-0.92134714,-0.35756704,PaCMAP
104,Wuschel,Olympia,before,partner,3.0,Wuschel-Olympia,male,11,6,-2.1984444,-0.88941807,PaCMAP
105,Wuschel,Olympia,before,partner,5.0,Wuschel-Olympia,male,18,2,-4.3520985,-1.9641259,PaCMAP
106,Wuschel,Olympia,before,partner,6.0,Wuschel-Olympia,male,18,3,-2.5246556,1.3533076,PaCMAP
