0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,stage,type,date_x,time_x,focal ID,Date_Time,experimenter,session_number,conspecific_ID,seq_num,sequence,true_sequence,phase,paired_status
before_phees_2022-02-23_09-24-00_0000042_labelled_Lola_pheeseq_05.txt,x,A,A,y,,,,,,,,,,,,,,,before,phees,2022-02-23,09-24-00,Lola,2022-02-23 09:24:00,AT/MM,1.0,Tabor,1.0,xAAy,AA,1,partner
before_phees_2022-02-23_09-24-00_0000042_labelled_Lola_pheeseq_06.txt,x,A,A,y,,,,,,,,,,,,,,,before,phees,2022-02-23,09-24-00,Lola,2022-02-23 09:24:00,AT/MM,1.0,Tabor,2.0,xAAy,AA,1,partner
before_trills_2022-02-23_09-24-02_0000042_labelled_Tabor_pheeseq_14.txt,P,A,P,A,A,P,,,,,,,,,,,,,before,trills,2022-02-23,09-24-02,Tabor,2022-02-23 09:24:02,AT/MM,1.0,Lola,1.0,PAPAAP,PAPAAP,3,partner
before_trills_2022-02-23_09-24-02_0000042_labelled_Tabor_pheeseq_15.txt,x,A,P,A,A,P,,,,,,,,,,,,,before,trills,2022-02-23,09-24-02,Tabor,2022-02-23 09:24:02,AT/MM,1.0,Lola,2.0,xAPAAP,APAAP,3,partner
before_phees_2022-02-25_10-36-24_0000044_labelled_Lola_pheeseq_47.txt,x,A,A,y,,,,,,,,,,,,,,,before,phees,2022-02-25,10-36-24,Lola,2022-02-25 10:36:24,AT/MM,1.0,Odin,5.0,xAAy,AA,1,non-partner
before_phees_2022-02-25_10-36-24_0000044_labelled_Lola_pheeseq_64.txt,x,A,A,y,,,,,,,,,,,,,,,before,phees,2022-02-25,10-36-24,Lola,2022-02-25 10:36:24,AT/MM,1.0,Odin,6.0,xAAy,AA,1,non-partner
before_phees_2022-02-25_10-36-24_0000044_labelled_Odin_pheeseq_07.txt,x,R,A,y,,,,,,,,,,,,,,,before,phees,2022-02-25,10-36-24,Odin,2022-02-25 10:36:24,AT/MM,1.0,Lola,1.0,xRAy,RA,1,non-partner
before_phees_2022-02-25_10-36-24_0000044_labelled_Odin_pheeseq_30.txt,x,R,A,A,T,K,K,K,,,,,,,,,,,before,phees,2022-02-25,10-36-24,Odin,2022-02-25 10:36:24,AT/MM,1.0,Lola,3.0,xRAATKKK,RAATKKK,1,non-partner
before_phees_2022-02-25_10-36-24_0000044_labelled_Odin_pheeseq_44.txt,x,R,T,K,K,T,K,K,,,,,,,,,,,before,phees,2022-02-25,10-36-24,Odin,2022-02-25 10:36:24,AT/MM,1.0,Lola,4.0,xRTKKTKK,RTKKTKK,1,non-partner
before_phees_2022-02-25_10-36-24_0000044_labelled_Odin_pheeseq_45.txt,x,A,A,A,y,,,,,,,,,,,,,,before,phees,2022-02-25,10-36-24,Odin,2022-02-25 10:36:24,AT/MM,1.0,Lola,5.0,xAAAy,AAA,1,non-partner
before_phees_2022-02-25_10-36-24_0000044_labelled_Odin_pheeseq_46.txt,x,A,A,y,,,,,,,,,,,,,,,before,phees,2022-02-25,10-36-24,Odin,2022-02-25 10:36:24,AT/MM,1.0,Lola,6.0,xAAy,AA,1,non-partner
before_phees_2022-02-25_10-36-24_0000044_labelled_Odin_pheeseq_48.txt,x,A,A,P,P,P,P,K,,,,,,,,,,,before,phees,2022-02-25,10-36-24,Odin,2022-02-25 10:36:24,AT/MM,1.0,Lola,7.0,xAAPPPPK,AAPPPPK,1,non-partner
before_phees_2022-02-25_10-36-24_0000044_labelled_Odin_pheeseq_50.txt,x,A,A,y,,,,,,,,,,,,,,,before,phees,2022-02-25,10-36-24,Odin,2022-02-25 10:36:24,AT/MM,1.0,Lola,8.0,xAAy,AA,1,non-partner
before_phees_2022-02-25_10-36-24_0000044_labelled_Odin_pheeseq_54.txt,T,K,K,A,A,A,T,K,K,T,K,T,K,K,T,,,,before,phees,2022-02-25,10-36-24,Odin,2022-02-25 10:36:24,AT/MM,1.0,Lola,9.0,TKKAAATKKTKTKKT,TKKAAATKKTKTKKT,1,non-partner
before_phees_2022-02-25_10-36-24_0000044_labelled_Odin_pheeseq_59.txt,x,R,A,y,,,,,,,,,,,,,,,before,phees,2022-02-25,10-36-24,Odin,2022-02-25 10:36:24,AT/MM,1.0,Lola,10.0,xRAy,RA,1,non-partner
before_phees_2022-02-25_10-36-24_0000044_labelled_Odin_pheeseq_73.txt,x,A,A,y,,,,,,,,,,,,,,,before,phees,2022-02-25,10-36-24,Odin,2022-02-25 10:36:24,AT/MM,1.0,Lola,13.0,xAAy,AA,3,non-partner
before_phees_2022-02-25_10-36-24_0000044_labelled_Odin_pheeseq_79.txt,x,A,A,y,,,,,,,,,,,,,,,before,phees,2022-02-25,10-36-24,Odin,2022-02-25 10:36:24,AT/MM,1.0,Lola,14.0,xAAy,AA,3,non-partner
before_phees_2022-02-25_10-36-24_0000044_labelled_Odin_pheeseq_83.txt,x,A,A,y,,,,,,,,,,,,,,,before,phees,2022-02-25,10-36-24,Odin,2022-02-25 10:36:24,AT/MM,1.0,Lola,15.0,xAAy,AA,3,non-partner
before_phees_2022-02-25_10-36-24_0000044_labelled_Odin_pheeseq_84.txt,x,A,A,A,y,,,,,,,,,,,,,,before,phees,2022-02-25,10-36-24,Odin,2022-02-25 10:36:24,AT/MM,1.0,Lola,16.0,xAAAy,AAA,3,non-partner
before_trills_2022-02-28_10-15-58_0000046_labelled_Nougatti_pheeseq_04.txt,x,A,A,A,P,P,,,,,,,,,,,,,before,trills,2022-02-28,10-15-58,Nougatti,2022-02-28 10:15:58,AT/MM,1.0,Odin,1.0,xAAAPP,AAAPP,1,partner
before_trills_2022-02-28_10-15-58_0000046_labelled_Nougatti_pheeseq_08.txt,x,A,A,P,P,,,,,,,,,,,,,,before,trills,2022-02-28,10-15-58,Nougatti,2022-02-28 10:15:58,AT/MM,1.0,Odin,2.0,xAAPP,AAPP,1,partner
before_trills_2022-02-28_10-15-58_0000046_labelled_Nougatti_pheeseq_14.txt,x,A,A,P,P,,,,,,,,,,,,,,before,trills,2022-02-28,10-15-58,Nougatti,2022-02-28 10:15:58,AT/MM,1.0,Odin,3.0,xAAPP,AAPP,1,partner
before_trills_2022-02-28_10-15-58_0000046_labelled_Nougatti_pheeseq_21.txt,x,R,A,P,P,,,,,,,,,,,,,,before,trills,2022-02-28,10-15-58,Nougatti,2022-02-28 10:15:58,AT/MM,1.0,Odin,4.0,xRAPP,RAPP,1,partner
before_trills_2022-02-28_10-15-58_0000046_labelled_Nougatti_pheeseq_66.txt,x,R,A,P,P,,,,,,,,,,,,,,before,trills,2022-02-28,10-15-58,Nougatti,2022-02-28 10:15:58,AT/MM,1.0,Odin,7.0,xRAPP,RAPP,3,partner
before_trills_2022-02-28_10-15-58_0000046_labelled_Nougatti_pheeseq_74.txt,x,R,A,A,P,,,,,,,,,,,,,,before,trills,2022-02-28,10-15-58,Nougatti,2022-02-28 10:15:58,AT/MM,1.0,Odin,8.0,xRAAP,RAAP,3,partner
before_trills_2022-02-28_10-15-58_0000046_labelled_Nougatti_pheeseq_80.txt,x,R,A,P,,,,,,,,,,,,,,,before,trills,2022-02-28,10-15-58,Nougatti,2022-02-28 10:15:58,AT/MM,1.0,Odin,9.0,xRAP,RAP,3,partner
before_trills_2022-02-28_10-15-58_0000046_labelled_Nougatti_pheeseq_89.txt,x,A,P,,,,,,,,,,,,,,,,before,trills,2022-02-28,10-15-58,Nougatti,2022-02-28 10:15:58,AT/MM,1.0,Odin,11.0,xAP,AP,3,partner
before_trills_2022-02-28_10-15-58_0000046_labelled_Nougatti_pheeseq_96.txt,x,A,A,A,y,,,,,,,,,,,,,,before,trills,2022-02-28,10-15-58,Nougatti,2022-02-28 10:15:58,AT/MM,1.0,Odin,12.0,xAAAy,AAA,3,partner
before_phees_2022-02-28_10-15-56_0000046_labelled_Odin_pheeseq_01.txt,x,A,A,A,y,,,,,,,,,,,,,,before,phees,2022-02-28,10-15-56,Odin,2022-02-28 10:15:56,AT/MM,1.0,Nougatti,1.0,xAAAy,AAA,1,partner
before_phees_2022-02-28_10-15-56_0000046_labelled_Odin_pheeseq_02.txt,x,A,A,A,P,P,A,y,,,,,,,,,,,before,phees,2022-02-28,10-15-56,Odin,2022-02-28 10:15:56,AT/MM,1.0,Nougatti,2.0,xAAAPPAy,AAAPPA,1,partner
