call_id,mfcc_pc_1,mfcc_pc_2,mfcc_pc_3,mfcc_pc_4,mfcc_pc_5
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000016_labelled_mD3.wav,-4.375394331288433,5.312467801232801,-5.179953245925786,5.846911197643228,-4.242748406637561
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000016_labelled_mD4.wav,-3.953865600802489,5.3393266808204185,-4.207943551038711,5.023091651079729,-5.0504148683585575
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000016_labelled_mD5.wav,-5.511053160501918,1.711030999173094,-4.069711047223232,6.954050374488926,-1.0591868909472104
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000018_labelled_mD1.wav,-3.8975227287822793,-1.9944433820967065,-2.2285507252765457,5.851010713622293,1.1427525048110596
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000018_labelled_mD3.wav,-3.338681959058183,3.96298075539072,-2.4675779615046745,7.940095611869908,-1.7188545023940192
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000018_labelled_mD5.wav,-4.254205831222071,5.1686424089585845,-3.778665943164123,7.1431080525326385,-2.155870120086896
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000018_labelled_mD6.wav,-4.411829209679245,8.25064902477126,-3.269686956640962,5.636915676404313,-4.356847907197878
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000020_labelled_mD3.wav,-4.603522371598914,4.486461866220386,-3.671418480473406,10.075049194727024,1.0850599098196585
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000020_labelled_mD4.wav,-4.410261948954616,3.642613518307383,-5.84232827608826,8.902725463194532,0.8625590174583677
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000020_labelled_mD5.wav,-5.024495009534573,4.52079547306115,-2.1023990560115213,9.10192699509916,-0.663148422195871
after_phees_2022-07-19_11-17-29_0000018_labelled_Odin_pheeseq_0000025_labelled_mD1.wav,-6.390061408083218,0.5494694394904099,-4.569998673792827,7.35712204552776,1.5139648052514931
