comparison_id,pair_id,stage,context,repertoire_a_id,repertoire_b_id,individual_a,individual_b,receiver_a,receiver_b,session_a,session_b
comparison=f8800867bdf28652df8d4121,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=6,focal=Lola|conspecific=Odin|stage=after|session=2,Tabor,Lola,Nougatti,Odin,6,2
comparison=f2b934a50910b6f16c5f6159,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=6,focal=Lola|conspecific=Odin|stage=after|session=3,Tabor,Lola,Nougatti,Odin,6,3
comparison=de3cd277f65a382ec1b5dacd,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=6,focal=Lola|conspecific=Odin|stage=after|session=4,Tabor,Lola,Nougatti,Odin,6,4
comparison=b3feac09c5fa46df0f9282ec,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=6,focal=Lola|conspecific=Odin|stage=after|session=5,Tabor,Lola,Nougatti,Odin,6,5
comparison=90a1e15ad8b4a427767d3a59,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=6,focal=Lola|conspecific=Odin|stage=after|session=6,Tabor,Lola,Nougatti,Odin,6,6
comparison=f7802ea7507ff03c8f583c5a,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=6,focal=Lola|conspecific=Wuschel|stage=after|session=2,Tabor,Lola,Nougatti,Wuschel,6,2
comparison=6da96511a4ad491ab95bedc5,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=6,focal=Lola|conspecific=Wuschel|stage=after|session=3,Tabor,Lola,Nougatti,Wuschel,6,3
comparison=2605e4f3289baa8f1b86c421,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=6,focal=Lola|conspecific=Wuschel|stage=after|session=4,Tabor,Lola,Nougatti,Wuschel,6,4
comparison=bc921c765bd96552dd032778,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=6,focal=Lola|conspecific=Wuschel|stage=after|session=5,Tabor,Lola,Nougatti,Wuschel,6,5
comparison=37051c8a9b55233e268cdb98,A,after,non-partner,focal=Tabor|conspecific=Nougatti|stage=after|session=6,focal=Lola|conspecific=Wuschel|stage=after|session=6,Tabor,Lola,Nougatti,Wuschel,6,6
comparison=27e380cd39b28246e45b947f,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=2,focal=Lola|conspecific=Odin|stage=after|session=2,Tabor,Lola,Olympia,Odin,2,2
comparison=a0f013e1ba46ada222dc9ee1,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=2,focal=Lola|conspecific=Odin|stage=after|session=3,Tabor,Lola,Olympia,Odin,2,3
comparison=fe244063983b7d80c4db1fb4,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=2,focal=Lola|conspecific=Odin|stage=after|session=4,Tabor,Lola,Olympia,Odin,2,4
