file name,file type,equipment,hab_acc,period,ID_left,ID_right,day,month,year,experimenter,comments,
phees_2022-03-23_14-06-30_0000117,acoustic,USGH1,acc,before,Wuschel,Lola,23,3,2022,AT/MM,almost no vocalizations,
trills_2022-03-23_14-06-31_0000117,acoustic,USGH2,acc,before,Wuschel,Lola,23,3,2022,AT/MM,almost no vocalizations,
phees_2022-07-07_09-33-47_0000003.wav,acoustic,USGH1,acc,after,Tabor,Nougatti,7,7,2022,09:30,KW/KM,start of experiment not marked - numpad not connected properly. Start or recording a few seconds in. Still can use for analysis (add phase change marker at the beginning)
trills_2022-07-07_09-33-48_0000003.wav,acoustic,USGH2,acc,after,Tabor,Nougatti,7,7,2022,09:30,KW/KM,
phees_2022-07-07_10-13-25_0000004.wav,acoustic,USGH1,acc,after,Odin,Olympia,7,7,2022,10:10,KW/KM,one additional phase change (undo after)
trills_2022-07-07_10-13-27_0000004.wav,acoustic,USGH2,acc,after,Odin,Olympia,7,7,2022,10:10,KW/KM,
phees_2022-07-07_11-00-28_0000005.wav,acoustic,USGH1,acc,after,Wuschel,Nougatti,7,7,2022,11:00,KW/KM,
trills_2022-07-07_11-00-29_0000005.wav,acoustic,USGH2,acc,after,Wuschel,Nougatti,7,7,2022,11:00,KW/KM,
phees_2022-07-07_13-29-35_0000007.wav,acoustic,USGH1,acc,after,Tabor,Lola,7,7,2022,13:30,KW/KM,"Avisoft crashed a few seconds in, experiment restarted (audio file ok, but video has the beginning in it). Lots of food calls, from both individuals (mostly Tabor). Sometimes at the same time - then not labelled - too hard to tell. "
trills_2022-07-07_13-29-36_0000007.wav,acoustic,USGH2,acc,after,Tabor,Lola,7,7,2022,13:30,KW/KM,
phees_2022-07-07_13-58-35_0000008.wav,acoustic,USGH1,acc,after,Wuschel,Olympia,7,7,2022,14:00,KW/KM,"the recording is a bit longer than the experiment - animals trilling (+ antiphonal), so we continuted recording "
trills_2022-07-07_13-58-36_0000008.wav,acoustic,USGH2,acc,after,Wuschel,Olympia,7,7,2022,14:00,KW/KM,
phees_2022-07-07_14-46-49_0000009.wav,acoustic,USGH1,acc,after,Odin,Lola,7,7,2022,14:30,KW/KM,
trills_2022-07-07_14-46-50_0000009.wav,acoustic,USGH2,acc,after,Odin,Lola,7,7,2022,14:30,KW/KM,
phees_2022-07-08_09-47-41_0000012.wav,acoustic,USGH1,acc,after,Odin,Nougatti,8,7,2022,09:45,KW/KM,
trills_2022-07-08_09-47-42_0000012.wav,acoustic,USGH2,acc,after,Odin,Nougatti,8,7,2022,09:45,KW/KM,
phees_2022-07-08_10-17-53_0000013.wav,acoustic,USGH1,acc,after,Wuschel,Lola,8,7,2022,10:20,KW/KM,
trills_2022-07-08_10-17-54_0000013.wav,acoustic,USGH2,acc,after,Wuschel,Lola,8,7,2022,10:20,KW/KM,
phees_2022-07-08_10-51-41_0000014.wav,acoustic,USGH1,acc,after,Tabor,Olympia ,8,7,2022,11:00,KW/KM,
trills_2022-07-08_10-51-44_0000014.wav,acoustic,USGH2,acc,after,Tabor,Olympia ,8,7,2022,11:00,KW/KM,
phees_2022-07-18_11-15-13_0000019.wav,acoustic ,USGH1,acc,after,Tabor,Lola,18,7,2022,11:20,KW/KM,
trills_2022-07-18_11-15-14_0000019.wav,acoustic ,USGH2,acc,after,Tabor,Lola,18,7,2022,11:20,KW/KM,
phees_2022-07-19_11-17-29_0000018.wav,acoustic ,USGH1,acc,after,Odin,Olympia ,19,7,2022,11:15,KW/KM,Odin a bit stressed; phee and trill 18 (KM)
trills_2022-07-19_11-17-30_0000018.wav,acoustic ,USGH2,acc,after,Odin,Olympia ,19,7,2022,11:15,KW/KM,
phees_2022-07-19_14-36-48_0000021.wav,acoustic ,USGH1,acc,after,Wuschel,Lola,19,7,2022,14:30,KW/KM,
