file name,file type,equipment,hab_acc,period,ID_left,ID_right,day,month,year,experimenter,comments,Unnamed: 12,file_prefix,date,time,ID,Date_Time,session_number
phees_2022-03-15_14-09-36_0000061,acoustic,USGH1,acc,before,Tabor,Olympia,15,3,2022,EO/MM,,,phees,2022-03-15,14-09-36,0000061,2022-03-15 14:09:36,4
trills_2022-03-15_14-09-36_0000061,acoustic,USGH2,acc,before,Tabor,Olympia,15,3,2022,EO/MM,,,trills,2022-03-15,14-09-36,0000061,2022-03-15 14:09:36,4
phees_2022-03-16_09-27-47_0000063,acoustic,USGH1,acc,before,Wuschel,Nougatti,16,3,2022,EO/MM,not as vocal as other times,,phees,2022-03-16,09-27-47,0000063,2022-03-16 09:27:47,3
trills_2022-03-16_09-27-47_0000063,acoustic,USGH2,acc,before,Wuschel,Nougatti,16,3,2022,EO/MM,not as vocal as other times,,trills,2022-03-16,09-27-47,0000063,2022-03-16 09:27:47,3
phees_2022-03-16_10-12-17_0000065,acoustic,USGH1,acc,before,Odin,Lola,16,3,2022,EO/MM,"mostly Odin , phees & food calls",,phees,2022-03-16,10-12-17,0000065,2022-03-16 10:12:17,4
trills_2022-03-16_10-12-18_0000065,acoustic,USGH2,acc,before,Odin,Lola,16,3,2022,EO/MM,"mostly Odin , phees & food calls",,trills,2022-03-16,10-12-18,0000065,2022-03-16 10:12:18,4
phees_2022-03-16_13-53-05_0000067,acoustic,USGH1,acc,before,Odin,Olympia,16,3,2022,EO/MM,,,phees,2022-03-16,13-53-05,0000067,2022-03-16 13:53:05,5
trills_2022-03-16_13-53-06_0000067,acoustic,USGH2,acc,before,Odin,Olympia,16,3,2022,EO/MM,,,trills,2022-03-16,13-53-06,0000067,2022-03-16 13:53:06,5
phees_2022-03-16_14-28-55_0000068,acoustic,USGH1,acc,before,Tabor,Lola,16,3,2022,EO/MM,,,phees,2022-03-16,14-28-55,0000068,2022-03-16 14:28:55,4
trills_2022-03-16_14-28-55_0000068,acoustic,USGH2,acc,before,Tabor,Lola,16,3,2022,EO/MM,,,trills,2022-03-16,14-28-55,0000068,2022-03-16 14:28:55,4
phees_2022-03-17_09-51-16_0000070,acoustic,USGH1,acc,before,Wuschel,Olympia,17,3,2022,RB/MM,Two Avisoft errors during recording,,phees,2022-03-17,09-51-16,0000070,2022-03-17 09:51:16,4
