pair,context,stage,individual_1,conspecific_1,session_number_1,session_1_id,individual_2,conspecific_2,session_number_2,session_2_id,comparison_id,n_calls_1,n_calls_2,n_call_pairs,metric,distance,z_distance,distance_01
Tabor-Lola,Partner,after,Tabor,Lola,5,Tabor__Lola__after__5,Lola,Tabor,3,Lola__Tabor__after__3,Lola__Tabor__after__3||Tabor__Lola__after__5,31,45,1395,spectro_DTW,0.014512266728803382,1.3580647490533981,0.7399323339946188
Tabor-Lola,Partner,after,Tabor,Lola,5,Tabor__Lola__after__5,Lola,Tabor,3,Lola__Tabor__after__3,Lola__Tabor__after__3||Tabor__Lola__after__5,31,45,1395,chatter_cosine,1.0531686711909523,1.4655882645010927,0.7651872788979243
Tabor-Lola,Partner,after,Tabor,Lola,5,Tabor__Lola__after__5,Lola,Tabor,5,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__5,31,20,620,T_PC_pairwise,4.819865363644015,1.0244533498628146,0.5932977935219318
Tabor-Lola,Partner,after,Tabor,Lola,5,Tabor__Lola__after__5,Lola,Tabor,5,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__5,31,20,620,M_PC_pairwise,15.472222718884868,0.7322199007899265,0.648172371841199
Tabor-Lola,Partner,after,Tabor,Lola,5,Tabor__Lola__after__5,Lola,Tabor,5,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__5,31,20,620,spectro_DTW,0.01231987621041856,0.7285607417170424,0.6085988303368562
Tabor-Lola,Partner,after,Tabor,Lola,5,Tabor__Lola__after__5,Lola,Tabor,5,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__5,31,20,620,chatter_cosine,1.0034784252605131,0.6012537685269147,0.6302378543651069
Tabor-Lola,Partner,after,Tabor,Lola,6,Tabor__Lola__after__6,Lola,Tabor,3,Lola__Tabor__after__3,Lola__Tabor__after__3||Tabor__Lola__after__6,7,45,315,T_PC_pairwise,5.738622696437533,2.0656218248778746,0.8141151869163292
Tabor-Lola,Partner,after,Tabor,Lola,6,Tabor__Lola__after__6,Lola,Tabor,3,Lola__Tabor__after__3,Lola__Tabor__after__3||Tabor__Lola__after__6,7,45,315,M_PC_pairwise,16.675348047226194,1.1198623801919014,0.7343691260735012
Tabor-Lola,Partner,after,Tabor,Lola,6,Tabor__Lola__after__6,Lola,Tabor,3,Lola__Tabor__after__3,Lola__Tabor__after__3||Tabor__Lola__after__6,7,45,315,spectro_DTW,0.01885365616264088,2.6046136750275064,1
Tabor-Lola,Partner,after,Tabor,Lola,6,Tabor__Lola__after__6,Lola,Tabor,3,Lola__Tabor__after__3,Lola__Tabor__after__3||Tabor__Lola__after__6,7,45,315,chatter_cosine,1.0020019200113084,0.5755707718647302,0.6262279419573722
Tabor-Lola,Partner,after,Tabor,Lola,6,Tabor__Lola__after__6,Lola,Tabor,5,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__6,7,20,140,T_PC_pairwise,4.994052137647357,1.2218479951990604,0.6351624600952555
Tabor-Lola,Partner,after,Tabor,Lola,6,Tabor__Lola__after__6,Lola,Tabor,5,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__6,7,20,140,M_PC_pairwise,13.977156683376856,0.2505152178098099,0.5410598070999917
Tabor-Lola,Partner,after,Tabor,Lola,6,Tabor__Lola__after__6,Lola,Tabor,5,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__6,7,20,140,spectro_DTW,0.01603179244723703,1.794368190882432,0.8309583783176864
Tabor-Lola,Partner,after,Tabor,Lola,6,Tabor__Lola__after__6,Lola,Tabor,5,Lola__Tabor__after__5,Lola__Tabor__after__5||Tabor__Lola__after__6,7,20,140,chatter_cosine,0.955214808668409,-0.23826529482054654,0.49916288858420366
Tabor-Lola,Non-partner,before,Tabor,Nougatti,2,Tabor__Nougatti__before__2,Lola,Odin,1,Lola__Odin__before__1,Lola__Odin__before__1||Tabor__Nougatti__before__2,12,8,96,T_PC_pairwise,3.8803325009842715,-0.040258694249734155,0.3674871356520294
Tabor-Lola,Non-partner,before,Tabor,Nougatti,2,Tabor__Nougatti__before__2,Lola,Odin,1,Lola__Odin__before__1,Lola__Odin__before__1||Tabor__Nougatti__before__2,12,8,96,M_PC_pairwise,13.518694366017977,0.1028003744539793,0.5082137163700791
Tabor-Lola,Non-partner,before,Tabor,Nougatti,2,Tabor__Nougatti__before__2,Lola,Odin,1,Lola__Odin__before__1,Lola__Odin__before__1||Tabor__Nougatti__before__2,12,8,96,spectro_DTW,0.009128185968923693,-0.18787352505654498,0.417403029000046
Tabor-Lola,Non-partner,before,Tabor,Nougatti,2,Tabor__Nougatti__before__2,Lola,Odin,1,Lola__Odin__before__1,Lola__Odin__before__1||Tabor__Nougatti__before__2,12,8,96,chatter_cosine,0.920992510082821,-0.833543354833775,0.4062215192301371
Tabor-Lola,Non-partner,before,Tabor,Nougatti,2,Tabor__Nougatti__before__2,Lola,Odin,5,Lola__Odin__before__5,Lola__Odin__before__5||Tabor__Nougatti__before__2,12,5,60,T_PC_pairwise,4.204002114137014,0.32653521912270084,0.4452790375463505
Tabor-Lola,Non-partner,before,Tabor,Nougatti,2,Tabor__Nougatti__before__2,Lola,Odin,5,Lola__Odin__before__5,Lola__Odin__before__5||Tabor__Nougatti__before__2,12,5,60,M_PC_pairwise,13.992032925287882,0.25530828729536686,0.5421256011097253
Tabor-Lola,Non-partner,before,Tabor,Nougatti,2,Tabor__Nougatti__before__2,Lola,Odin,5,Lola__Odin__before__5,Lola__Odin__before__5||Tabor__Nougatti__before__2,12,5,60,spectro_DTW,0.008373959948463986,-0.40443544608990356,0.37222168699634106
Tabor-Lola,Non-partner,before,Tabor,Nougatti,2,Tabor__Nougatti__before__2,Lola,Odin,5,Lola__Odin__before__5,Lola__Odin__before__5||Tabor__Nougatti__before__2,12,5,60,chatter_cosine,0.9197982907295227,-0.8543161436072638,0.4029782425774281
Tabor-Lola,Non-partner,before,Tabor,Nougatti,2,Tabor__Nougatti__before__2,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__2,12,10,120,T_PC_pairwise,4.729242477814356,0.921756273635032,0.5715171679785809
Tabor-Lola,Non-partner,before,Tabor,Nougatti,2,Tabor__Nougatti__before__2,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__2,12,10,120,M_PC_pairwise,17.497689791520436,1.3848178134828286,0.7932850075350076
Tabor-Lola,Non-partner,before,Tabor,Nougatti,2,Tabor__Nougatti__before__2,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__2,12,10,120,spectro_DTW,0.012503826216561719,0.7813785517949551,0.6196182169844715
Tabor-Lola,Non-partner,before,Tabor,Nougatti,2,Tabor__Nougatti__before__2,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__2,12,10,120,chatter_cosine,1.0591185440619786,1.5690830303810634,0.7813460220265543
Tabor-Lola,Non-partner,before,Tabor,Nougatti,3,Tabor__Nougatti__before__3,Lola,Odin,1,Lola__Odin__before__1,Lola__Odin__before__1||Tabor__Nougatti__before__3,9,8,72,T_PC_pairwise,4.371969067388111,0.5168813424430294,0.4856488103573411
Tabor-Lola,Non-partner,before,Tabor,Nougatti,3,Tabor__Nougatti__before__3,Lola,Odin,1,Lola__Odin__before__1,Lola__Odin__before__1||Tabor__Nougatti__before__3,9,8,72,M_PC_pairwise,11.9674996998575,-0.39698874332193307,0.3970798699986228
Tabor-Lola,Non-partner,before,Tabor,Nougatti,3,Tabor__Nougatti__before__3,Lola,Odin,1,Lola__Odin__before__1,Lola__Odin__before__1||Tabor__Nougatti__before__3,9,8,72,spectro_DTW,0.007317663210819269,-0.7077313341662422,0.3089450260667234
Tabor-Lola,Non-partner,before,Tabor,Nougatti,3,Tabor__Nougatti__before__3,Lola,Odin,1,Lola__Odin__before__1,Lola__Odin__before__1||Tabor__Nougatti__before__3,9,8,72,chatter_cosine,0.8888312122888036,-1.3929714397255626,0.3188774429780906
Tabor-Lola,Non-partner,before,Tabor,Nougatti,3,Tabor__Nougatti__before__3,Lola,Odin,5,Lola__Odin__before__5,Lola__Odin__before__5||Tabor__Nougatti__before__3,9,5,45,T_PC_pairwise,4.7668735716078015,0.9644011670574777,0.5805615584236432
Tabor-Lola,Non-partner,before,Tabor,Nougatti,3,Tabor__Nougatti__before__3,Lola,Odin,5,Lola__Odin__before__5,Lola__Odin__before__5||Tabor__Nougatti__before__3,9,5,45,M_PC_pairwise,12.10545735889011,-0.3525393017383033,0.40696371347691757
Tabor-Lola,Non-partner,before,Tabor,Nougatti,3,Tabor__Nougatti__before__3,Lola,Odin,5,Lola__Odin__before__5,Lola__Odin__before__5||Tabor__Nougatti__before__3,9,5,45,spectro_DTW,0.005845785402278933,-1.1303535682143098,0.2207732939183265
Tabor-Lola,Non-partner,before,Tabor,Nougatti,3,Tabor__Nougatti__before__3,Lola,Odin,5,Lola__Odin__before__5,Lola__Odin__before__5||Tabor__Nougatti__before__3,9,5,45,chatter_cosine,0.8317219886514876,-2.3863549721221764,0.16377946104899122
Tabor-Lola,Non-partner,before,Tabor,Nougatti,3,Tabor__Nougatti__before__3,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__3,9,10,90,T_PC_pairwise,5.153188090854221,1.4021865152919346,0.6734097590589853
Tabor-Lola,Non-partner,before,Tabor,Nougatti,3,Tabor__Nougatti__before__3,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__3,9,10,90,M_PC_pairwise,14.693695576985677,0.48138136846213053,0.5923955453272257
Tabor-Lola,Non-partner,before,Tabor,Nougatti,3,Tabor__Nougatti__before__3,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__3,9,10,90,spectro_DTW,0.009951717273280439,0.048588114378675204,0.46673605186528816
Tabor-Lola,Non-partner,before,Tabor,Nougatti,3,Tabor__Nougatti__before__3,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__3,9,10,90,chatter_cosine,0.9659336113267475,-0.05181761842725361,0.5282731540565972
Tabor-Lola,Non-partner,before,Tabor,Nougatti,4,Tabor__Nougatti__before__4,Lola,Odin,1,Lola__Odin__before__1,Lola__Odin__before__1||Tabor__Nougatti__before__4,15,8,120,T_PC_pairwise,4.159067517518997,0.27561373663074906,0.43447929734917584
Tabor-Lola,Non-partner,before,Tabor,Nougatti,4,Tabor__Nougatti__before__4,Lola,Odin,1,Lola__Odin__before__1,Lola__Odin__before__1||Tabor__Nougatti__before__4,15,8,120,M_PC_pairwise,15.406791460514068,0.7111381941482618,0.6434846124166064
Tabor-Lola,Non-partner,before,Tabor,Nougatti,4,Tabor__Nougatti__before__4,Lola,Odin,1,Lola__Odin__before__1,Lola__Odin__before__1||Tabor__Nougatti__before__4,15,8,120,spectro_DTW,0.01081887908318701,0.29757743893906213,0.5186827273221496
Tabor-Lola,Non-partner,before,Tabor,Nougatti,4,Tabor__Nougatti__before__4,Lola,Odin,1,Lola__Odin__before__1,Lola__Odin__before__1||Tabor__Nougatti__before__4,15,8,120,chatter_cosine,0.9770092604060968,0.14083720517711137,0.5583525477403791
Tabor-Lola,Non-partner,before,Tabor,Nougatti,4,Tabor__Nougatti__before__4,Lola,Odin,5,Lola__Odin__before__5,Lola__Odin__before__5||Tabor__Nougatti__before__4,15,5,75,T_PC_pairwise,4.421415815353393,0.5729161552667079,0.49753301700016006
Tabor-Lola,Non-partner,before,Tabor,Nougatti,4,Tabor__Nougatti__before__4,Lola,Odin,5,Lola__Odin__before__5,Lola__Odin__before__5||Tabor__Nougatti__before__4,15,5,75,M_PC_pairwise,16.119263693491618,0.940694081960247,0.694528998663525
Tabor-Lola,Non-partner,before,Tabor,Nougatti,4,Tabor__Nougatti__before__4,Lola,Odin,5,Lola__Odin__before__5,Lola__Odin__before__5||Tabor__Nougatti__before__4,15,5,75,spectro_DTW,0.009827552729596694,0.012936583703569414,0.45929806834213954
Tabor-Lola,Non-partner,before,Tabor,Nougatti,4,Tabor__Nougatti__before__4,Lola,Odin,5,Lola__Odin__before__5,Lola__Odin__before__5||Tabor__Nougatti__before__4,15,5,75,chatter_cosine,0.9574132513999939,-0.20002459275212528,0.505133448317618
Tabor-Lola,Non-partner,before,Tabor,Nougatti,4,Tabor__Nougatti__before__4,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__4,15,10,150,T_PC_pairwise,5.016539017359416,1.2473309267871708,0.6405670364576476
Tabor-Lola,Non-partner,before,Tabor,Nougatti,4,Tabor__Nougatti__before__4,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__4,15,10,150,M_PC_pairwise,18.96887093226115,1.8588268727321948,0.898686362017713
Tabor-Lola,Non-partner,before,Tabor,Nougatti,4,Tabor__Nougatti__before__4,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__4,15,10,150,spectro_DTW,0.01369269059660534,1.122738763463937,0.6908362427402445
Tabor-Lola,Non-partner,before,Tabor,Nougatti,4,Tabor__Nougatti__before__4,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__4,15,10,150,chatter_cosine,1.0662352740764618,1.6928746344448409,0.8006737311579277
Tabor-Lola,Non-partner,before,Tabor,Nougatti,6,Tabor__Nougatti__before__6,Lola,Odin,1,Lola__Odin__before__1,Lola__Odin__before__1||Tabor__Nougatti__before__6,20,8,160,T_PC_pairwise,4.581130516529083,0.7539105331346574,0.5359194143017717
Tabor-Lola,Non-partner,before,Tabor,Nougatti,6,Tabor__Nougatti__before__6,Lola,Odin,1,Lola__Odin__before__1,Lola__Odin__before__1||Tabor__Nougatti__before__6,20,8,160,M_PC_pairwise,14.898756721615792,0.5474513020433752,0.6070869533375989
Tabor-Lola,Non-partner,before,Tabor,Nougatti,6,Tabor__Nougatti__before__6,Lola,Odin,1,Lola__Odin__before__1,Lola__Odin__before__1||Tabor__Nougatti__before__6,20,8,160,spectro_DTW,0.01123945712533896,0.41833857191795404,0.5438771383425143
Tabor-Lola,Non-partner,before,Tabor,Nougatti,6,Tabor__Nougatti__before__6,Lola,Odin,1,Lola__Odin__before__1,Lola__Odin__before__1||Tabor__Nougatti__before__6,20,8,160,chatter_cosine,0.9443982545286417,-0.4264133044653559,0.46978714835073676
Tabor-Lola,Non-partner,before,Tabor,Nougatti,6,Tabor__Nougatti__before__6,Lola,Odin,5,Lola__Odin__before__5,Lola__Odin__before__5||Tabor__Nougatti__before__6,20,5,100,T_PC_pairwise,4.892265013456345,1.10649920712692,0.6106985819386254
Tabor-Lola,Non-partner,before,Tabor,Nougatti,6,Tabor__Nougatti__before__6,Lola,Odin,5,Lola__Odin__before__5,Lola__Odin__before__5||Tabor__Nougatti__before__6,20,5,100,M_PC_pairwise,15.686077132225037,0.8011229926502945,0.6634937651108336
Tabor-Lola,Non-partner,before,Tabor,Nougatti,6,Tabor__Nougatti__before__6,Lola,Odin,5,Lola__Odin__before__5,Lola__Odin__before__5||Tabor__Nougatti__before__6,20,5,100,spectro_DTW,0.01013718922273256,0.10184292206440264,0.4778466093811672
Tabor-Lola,Non-partner,before,Tabor,Nougatti,6,Tabor__Nougatti__before__6,Lola,Odin,5,Lola__Odin__before__5,Lola__Odin__before__5||Tabor__Nougatti__before__6,20,5,100,chatter_cosine,0.9027728074789048,-1.1504650599306006,0.35674021086632796
Tabor-Lola,Non-partner,before,Tabor,Nougatti,6,Tabor__Nougatti__before__6,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__6,20,10,200,T_PC_pairwise,5.503760949373246,1.7994681428312869,0.7576676822884172
Tabor-Lola,Non-partner,before,Tabor,Nougatti,6,Tabor__Nougatti__before__6,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__6,20,10,200,M_PC_pairwise,18.309439601898195,1.6463605652946716,0.8514420401026065
Tabor-Lola,Non-partner,before,Tabor,Nougatti,6,Tabor__Nougatti__before__6,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__6,20,10,200,spectro_DTW,0.014392912578769028,1.3237944331088634,0.7327825134819602
Tabor-Lola,Non-partner,before,Tabor,Nougatti,6,Tabor__Nougatti__before__6,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__6,20,10,200,chatter_cosine,1.0268195486068725,1.0072597704148667,0.693627984652451
Tabor-Lola,Non-partner,before,Tabor,Olympia,1,Tabor__Olympia__before__1,Lola,Odin,1,Lola__Odin__before__1,Lola__Odin__before__1||Tabor__Olympia__before__1,9,8,72,T_PC_pairwise,3.2719407594866223,-0.7297098464716926,0.22126410839007288
Tabor-Lola,Non-partner,before,Tabor,Olympia,1,Tabor__Olympia__before__1,Lola,Odin,1,Lola__Odin__before__1,Lola__Odin__before__1||Tabor__Olympia__before__1,9,8,72,M_PC_pairwise,13.679805517196655,0.1547097845802794,0.5197563694712131
Tabor-Lola,Non-partner,before,Tabor,Olympia,1,Tabor__Olympia__before__1,Lola,Odin,1,Lola__Odin__before__1,Lola__Odin__before__1||Tabor__Olympia__before__1,9,8,72,spectro_DTW,0.008065511321344983,-0.4930007109004168,0.35374430417687436
Tabor-Lola,Non-partner,before,Tabor,Olympia,1,Tabor__Olympia__before__1,Lola,Odin,1,Lola__Odin__before__1,Lola__Odin__before__1||Tabor__Olympia__before__1,9,8,72,chatter_cosine,0.9369393131799169,-0.5561574864558444,0.4495300571694303
Tabor-Lola,Non-partner,before,Tabor,Olympia,1,Tabor__Olympia__before__1,Lola,Odin,5,Lola__Odin__before__5,Lola__Odin__before__5||Tabor__Olympia__before__1,9,5,45,T_PC_pairwise,3.5111545059416027,-0.4586243239846078,0.27875758797481587
Tabor-Lola,Non-partner,before,Tabor,Olympia,1,Tabor__Olympia__before__1,Lola,Odin,5,Lola__Odin__before__5,Lola__Odin__before__5||Tabor__Olympia__before__1,9,5,45,M_PC_pairwise,14.02181757291158,0.26490478932303335,0.5442594934737528
