pair,context,stage,individual_1,conspecific_1,session_number_1,session_1_id,individual_2,conspecific_2,session_number_2,session_2_id,comparison_id,group_id_1,group_id_2,n_seq_1,n_seq_2,metric,distance,z_distance,distance_01
Tabor-Lola,Non-partner,before,Tabor,Nougatti,6,Tabor__Nougatti__before__6,Lola,Wuschel,3,Lola__Wuschel__before__3,Lola__Wuschel__before__3||Tabor__Nougatti__before__6,83,14,18,5,bigram,0.5192444324493408,1.1246060528568502,0.5902657987499075
Tabor-Lola,Non-partner,before,Tabor,Nougatti,6,Tabor__Nougatti__before__6,Lola,Wuschel,3,Lola__Wuschel__before__3,Lola__Wuschel__before__3||Tabor__Nougatti__before__6,83,14,18,5,repeat_A_len,0.7475360035896301,0.9780318578802105,0.5286802575252032
Tabor-Lola,Non-partner,before,Tabor,Nougatti,6,Tabor__Nougatti__before__6,Lola,Wuschel,3,Lola__Wuschel__before__3,Lola__Wuschel__before__3||Tabor__Nougatti__before__6,83,14,18,5,local_alignment,1.676113486289978,1.7033235473741544,0.6985692923697034
Tabor-Lola,Non-partner,before,Tabor,Nougatti,6,Tabor__Nougatti__before__6,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__6,83,15,18,12,transition_matrix,1.211824893951416,0.18324728302432144,0.5167920394665068
Tabor-Lola,Non-partner,before,Tabor,Nougatti,6,Tabor__Nougatti__before__6,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__6,83,15,18,12,bigram,0.3819462060928345,0.3179660738090626,0.41755827497575043
Tabor-Lola,Non-partner,before,Tabor,Nougatti,6,Tabor__Nougatti__before__6,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__6,83,15,18,12,repeat_A_len,0.7482566237449646,0.9805807438247417,0.5291899020740551
Tabor-Lola,Non-partner,before,Tabor,Nougatti,6,Tabor__Nougatti__before__6,Lola,Wuschel,4,Lola__Wuschel__before__4,Lola__Wuschel__before__4||Tabor__Nougatti__before__6,83,15,18,12,local_alignment,1.6088815927505493,1.4768124099957067,0.6565155611973646
Tabor-Lola,Non-partner,before,Tabor,Olympia,4,Tabor__Olympia__before__4,Lola,Wuschel,3,Lola__Wuschel__before__3,Lola__Wuschel__before__3||Tabor__Olympia__before__4,89,14,6,5,transition_matrix,1.7644768953323364,1.2274817921721177,0.7698463369447132
Tabor-Lola,Non-partner,before,Tabor,Olympia,4,Tabor__Olympia__before__4,Lola,Wuschel,3,Lola__Wuschel__before__3,Lola__Wuschel__before__3||Tabor__Olympia__before__4,89,14,6,5,bigram,0.6123214364051819,1.6714421957056291,0.7073474195407718
Tabor-Lola,Non-partner,before,Tabor,Olympia,4,Tabor__Olympia__before__4,Lola,Wuschel,3,Lola__Wuschel__before__3,Lola__Wuschel__before__3||Tabor__Olympia__before__4,89,14,6,5,repeat_A_len,1.4133305549621582,3.3329956503530687,0.9995504673722946
