call_id,filename,focal ID,conspecific_ID,stage,paired_status,pair_id,embedding_1,embedding_2,embedding_method
2347,before_phees_2022-03-08_09-46-19_0000014_labelled_Nougatti_pheeseq_04_labelled_mB1.wav,Nougatti,Tabor,before,non-partner,Odin-Nougatti,15.551109,-1.1075449,PaCMAP
2348,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_01_labelled_mB2.wav,Odin,Nougatti,before,partner,Odin-Nougatti,-4.153141,-3.2611601,PaCMAP
2349,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_02_labelled_mC1.wav,Odin,Nougatti,before,partner,Odin-Nougatti,-2.9190733,-2.1172388,PaCMAP
2350,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_02_labelled_mC2.wav,Odin,Nougatti,before,partner,Odin-Nougatti,5.226201,0.13029912,PaCMAP
2351,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_02_labelled_mC3.wav,Odin,Nougatti,before,partner,Odin-Nougatti,-8.416032,-2.9677606,PaCMAP
2352,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_03_labelled_mB1.wav,Odin,Nougatti,before,partner,Odin-Nougatti,-4.2332935,-4.801956,PaCMAP
2353,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_03_labelled_mB2.wav,Odin,Nougatti,before,partner,Odin-Nougatti,-5.8287044,-3.7574494,PaCMAP
2354,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_05_labelled_mB1.wav,Odin,Nougatti,before,partner,Odin-Nougatti,-2.9808254,-3.444975,PaCMAP
2355,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_05_labelled_mB2.wav,Odin,Nougatti,before,partner,Odin-Nougatti,4.6044455,0.20806915,PaCMAP
2356,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_07_labelled_mB1.wav,Odin,Nougatti,before,partner,Odin-Nougatti,-2.2368987,-5.5228057,PaCMAP
2357,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_07_labelled_mB2.wav,Odin,Nougatti,before,partner,Odin-Nougatti,-3.0164332,-4.894143,PaCMAP
2358,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_08_labelled_mB1.wav,Odin,Nougatti,before,partner,Odin-Nougatti,-4.5537558,-4.7002873,PaCMAP
2359,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_08_labelled_mB2.wav,Odin,Nougatti,before,partner,Odin-Nougatti,-7.4872456,-3.702901,PaCMAP
2360,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_10_labelled_mB1.wav,Odin,Nougatti,before,partner,Odin-Nougatti,-2.9886687,-3.1691706,PaCMAP
2361,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_10_labelled_mB2.wav,Odin,Nougatti,before,partner,Odin-Nougatti,-8.889746,-2.9532619,PaCMAP
2362,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_11_labelled_mC1.wav,Odin,Nougatti,before,partner,Odin-Nougatti,-1.2733251,-4.347255,PaCMAP
2363,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_11_labelled_mC2.wav,Odin,Nougatti,before,partner,Odin-Nougatti,7.2823315,4.23363,PaCMAP
2364,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_11_labelled_mC3.wav,Odin,Nougatti,before,partner,Odin-Nougatti,6.2370276,1.5574849,PaCMAP
2365,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_12_labelled_mD3.wav,Odin,Nougatti,before,partner,Odin-Nougatti,5.898265,1.075214,PaCMAP
2366,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_12_labelled_mD4.wav,Odin,Nougatti,before,partner,Odin-Nougatti,-11.970882,-1.8954716,PaCMAP
2367,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_14_labelled_mB1.wav,Odin,Nougatti,before,partner,Odin-Nougatti,-2.2809484,-6.1308355,PaCMAP
2368,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_14_labelled_mB2.wav,Odin,Nougatti,before,partner,Odin-Nougatti,-1.9696407,-5.6678066,PaCMAP
2369,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_15_labelled_mC2.wav,Odin,Nougatti,before,partner,Odin-Nougatti,7.6722817,3.9086432,PaCMAP
2370,before_phees_2022-03-09_14-59-42_0000020_labelled_Odin_pheeseq_15_labelled_mC3.wav,Odin,Nougatti,before,partner,Odin-Nougatti,-2.9932947,-4.140423,PaCMAP
2371,before_phees_2022-03-10_10-18-58_0000024_labelled_Odin_pheeseq_02_labelled_mB2.wav,Odin,Olympia,before,non-partner,Odin-Nougatti,-1.2968413,-4.1602597,PaCMAP
2372,before_phees_2022-03-10_10-18-58_0000024_labelled_Odin_pheeseq_04_labelled_mB1.wav,Odin,Olympia,before,non-partner,Odin-Nougatti,-1.8858793,-5.2583327,PaCMAP
2373,before_phees_2022-03-10_10-18-58_0000024_labelled_Odin_pheeseq_04_labelled_mB2.wav,Odin,Olympia,before,non-partner,Odin-Nougatti,-4.3639655,-2.1716373,PaCMAP
2374,before_phees_2022-03-10_10-18-58_0000024_labelled_Odin_pheeseq_05_labelled_mB1.wav,Odin,Olympia,before,non-partner,Odin-Nougatti,-2.976025,-5.356773,PaCMAP
2375,before_phees_2022-03-10_10-18-58_0000024_labelled_Odin_pheeseq_05_labelled_mB2.wav,Odin,Olympia,before,non-partner,Odin-Nougatti,-3.8213284,-2.9499438,PaCMAP
2376,before_phees_2022-03-10_10-18-58_0000024_labelled_Odin_pheeseq_16_labelled_mB1.wav,Odin,Olympia,before,non-partner,Odin-Nougatti,-4.540167,-2.6821654,PaCMAP
2377,before_phees_2022-03-10_10-18-58_0000024_labelled_Odin_pheeseq_16_labelled_mB2.wav,Odin,Olympia,before,non-partner,Odin-Nougatti,-2.1524763,-2.9085944,PaCMAP
2378,before_phees_2022-03-10_10-18-58_0000024_labelled_Odin_pheeseq_17_labelled_mC1.wav,Odin,Olympia,before,non-partner,Odin-Nougatti,-2.0218332,-0.47103104,PaCMAP
2379,before_phees_2022-03-10_10-18-58_0000024_labelled_Odin_pheeseq_17_labelled_mC2.wav,Odin,Olympia,before,non-partner,Odin-Nougatti,1.5021864,-0.50114363,PaCMAP
2380,before_phees_2022-03-10_10-18-58_0000024_labelled_Odin_pheeseq_17_labelled_mC3.wav,Odin,Olympia,before,non-partner,Odin-Nougatti,-7.8342137,-2.2012627,PaCMAP
2381,before_phees_2022-03-10_10-18-58_0000024_labelled_Odin_pheeseq_18_labelled_mC1.wav,Odin,Olympia,before,non-partner,Odin-Nougatti,-0.11565258,-0.74942946,PaCMAP
2382,before_phees_2022-03-10_10-18-58_0000024_labelled_Odin_pheeseq_18_labelled_mC2.wav,Odin,Olympia,before,non-partner,Odin-Nougatti,3.4776878,0.99189085,PaCMAP
2383,before_phees_2022-03-10_10-18-58_0000024_labelled_Odin_pheeseq_18_labelled_mC3.wav,Odin,Olympia,before,non-partner,Odin-Nougatti,4.744465,-0.3540929,PaCMAP
2384,before_phees_2022-03-10_10-18-58_0000024_labelled_Odin_pheeseq_19_labelled_mD1.wav,Odin,Olympia,before,non-partner,Odin-Nougatti,-0.6664258,1.0265696,PaCMAP
2385,before_phees_2022-03-10_10-18-58_0000024_labelled_Odin_pheeseq_19_labelled_mD5.wav,Odin,Olympia,before,non-partner,Odin-Nougatti,4.2179737,4.076962,PaCMAP
2386,before_phees_2022-03-10_10-18-58_0000024_labelled_Odin_pheeseq_19_labelled_mD6.wav,Odin,Olympia,before,non-partner,Odin-Nougatti,3.8368323,2.2368097,PaCMAP
2387,before_phees_2022-03-10_10-18-58_0000024_labelled_Odin_pheeseq_19_labelled_mD8.wav,Odin,Olympia,before,non-partner,Odin-Nougatti,-13.168218,-0.40993944,PaCMAP
2388,before_phees_2022-03-10_10-18-58_0000024_labelled_Olympia_pheeseq_20_labelled_mB1.wav,Olympia,Odin,before,non-partner,Wuschel-Olympia,-11.4811325,-0.47360677,PaCMAP
2389,before_phees_2022-03-10_10-18-58_0000024_labelled_Olympia_pheeseq_20_labelled_mB2.wav,Olympia,Odin,before,non-partner,Wuschel-Olympia,-9.635148,-2.2965734,PaCMAP
2390,before_phees_2022-03-10_10-18-58_0000024_labelled_Olympia_pheeseq_21_labelled_mB1.wav,Olympia,Odin,before,non-partner,Wuschel-Olympia,-10.416416,0.0954157,PaCMAP
2391,before_phees_2022-03-10_10-18-58_0000024_labelled_Olympia_pheeseq_21_labelled_mB2.wav,Olympia,Odin,before,non-partner,Wuschel-Olympia,-11.327726,-2.8777988,PaCMAP
2392,before_phees_2022-03-10_10-18-58_0000024_labelled_Olympia_pheeseq_23_labelled_mB1.wav,Olympia,Odin,before,non-partner,Wuschel-Olympia,-6.824077,-0.5910146,PaCMAP
2393,before_phees_2022-03-10_10-18-58_0000024_labelled_Olympia_pheeseq_23_labelled_mB2.wav,Olympia,Odin,before,non-partner,Wuschel-Olympia,-7.312601,-1.0412787,PaCMAP
2394,before_phees_2022-03-10_10-18-58_0000024_labelled_Olympia_pheeseq_24_labelled_mB1.wav,Olympia,Odin,before,non-partner,Wuschel-Olympia,-7.327329,-1.1790634,PaCMAP
2395,before_phees_2022-03-10_10-18-58_0000024_labelled_Olympia_pheeseq_24_labelled_mB2.wav,Olympia,Odin,before,non-partner,Wuschel-Olympia,-8.106751,-0.84582126,PaCMAP
2396,before_phees_2022-03-10_10-18-58_0000024_labelled_Olympia_pheeseqX_22_labelled_mB1.wav,Olympia,Odin,before,non-partner,Wuschel-Olympia,-10.9734745,0.096741214,PaCMAP
2397,before_phees_2022-03-10_10-18-58_0000024_labelled_Olympia_pheeseqX_22_labelled_mB2.wav,Olympia,Odin,before,non-partner,Wuschel-Olympia,-8.458441,-0.44156632,PaCMAP
2398,before_phees_2022-03-10_10-59-37_0000025_labelled_Nougatti_pheeseq_14_labelled_mB2.wav,Nougatti,Wuschel,before,non-partner,Odin-Nougatti,4.6052356,-1.0936124,PaCMAP
2399,before_phees_2022-03-10_10-59-37_0000025_labelled_Nougatti_pheeseq_15_labelled_mB1.wav,Nougatti,Wuschel,before,non-partner,Odin-Nougatti,-0.43654728,0.7686231,PaCMAP
2400,before_phees_2022-03-10_10-59-37_0000025_labelled_Nougatti_pheeseq_15_labelled_mB2.wav,Nougatti,Wuschel,before,non-partner,Odin-Nougatti,6.6992435,2.3586638,PaCMAP
2401,before_phees_2022-03-10_10-59-37_0000025_labelled_Nougatti_pheeseq_16_labelled_mB1.wav,Nougatti,Wuschel,before,non-partner,Odin-Nougatti,4.22566,-0.2606242,PaCMAP
2402,before_phees_2022-03-10_10-59-37_0000025_labelled_Nougatti_pheeseq_16_labelled_mB3.wav,Nougatti,Wuschel,before,non-partner,Odin-Nougatti,5.300554,0.82871944,PaCMAP
2403,before_phees_2022-03-10_10-59-37_0000025_labelled_Nougatti_pheeseq_18_labelled_mB1.wav,Nougatti,Wuschel,before,non-partner,Odin-Nougatti,5.173811,-1.7430419,PaCMAP
2404,before_phees_2022-03-10_10-59-37_0000025_labelled_Nougatti_pheeseq_18_labelled_mB3.wav,Nougatti,Wuschel,before,non-partner,Odin-Nougatti,6.841592,1.6300585,PaCMAP
2405,before_phees_2022-03-10_10-59-37_0000025_labelled_Nougatti_pheeseq_19_labelled_mB1.wav,Nougatti,Wuschel,before,non-partner,Odin-Nougatti,5.5209394,-1.4666847,PaCMAP
2406,before_phees_2022-03-10_10-59-37_0000025_labelled_Nougatti_pheeseq_19_labelled_mB3.wav,Nougatti,Wuschel,before,non-partner,Odin-Nougatti,7.836425,4.084699,PaCMAP
2407,before_phees_2022-03-10_10-59-37_0000025_labelled_Nougatti_pheeseq_21_labelled_mB3.wav,Nougatti,Wuschel,before,non-partner,Odin-Nougatti,6.3983235,-1.2015842,PaCMAP
2408,before_phees_2022-03-10_10-59-37_0000025_labelled_Nougatti_pheeseq_22_labelled_mB1.wav,Nougatti,Wuschel,before,non-partner,Odin-Nougatti,5.1163063,-0.5380999,PaCMAP
