call_id,filename,focal ID,conspecific_ID,stage,paired_status,pair_id,embedding_1,embedding_2,embedding_method
1945,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000027_labelled_mB2.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-1.681886,0.9089823,PaCMAP
1946,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000028_labelled_mB1.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-4.2961035,1.8596798,PaCMAP
1947,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000028_labelled_mB2.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-2.4448445,1.1458644,PaCMAP
1948,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000029_labelled_mB1.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-6.0331783,5.7005687,PaCMAP
1949,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000029_labelled_mB2.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,7.268132,-7.5647326,PaCMAP
1950,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000030_labelled_mB1.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-2.3593788,0.7451936,PaCMAP
1951,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000030_labelled_mB2.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-0.67536926,1.4324366,PaCMAP
1952,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000031_labelled_mB1.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-1.2123653,3.1826887,PaCMAP
1953,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000031_labelled_mB2.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-0.8537254,1.2240969,PaCMAP
1954,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000032_labelled_mB1.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-1.2636386,2.8533378,PaCMAP
1955,after_phees_2022-08-08_15-04-09_0000084_labelled_Nougatti_pheeseq_0000032_labelled_mB2.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,6.669195,-6.381882,PaCMAP
