call_id,filename,focal ID,conspecific_ID,stage,paired_status,pair_id,embedding_1,embedding_2,embedding_method
3459,before_trills_2022-03-22_09-27-55_0000104_labelled_Odin_pheeseq_03_labelled_mB3.wav,Odin,Nougatti,before,partner,Odin-Nougatti,9.783787,2.7053103,UMAP
3460,before_trills_2022-03-22_09-27-55_0000104_labelled_Odin_pheeseq_110_labelled_mB2.wav,Odin,Nougatti,before,partner,Odin-Nougatti,2.0798244,3.838856,UMAP
3461,before_trills_2022-03-22_09-27-55_0000104_labelled_Odin_pheeseq_34_labelled_mB2.wav,Odin,Nougatti,before,partner,Odin-Nougatti,5.021556,3.4099329,UMAP
3462,before_trills_2022-03-22_09-27-55_0000104_labelled_Odin_pheeseq_45_labelled_mB1.wav,Odin,Nougatti,before,partner,Odin-Nougatti,3.4373853,3.1321623,UMAP
3463,before_trills_2022-03-22_09-27-55_0000104_labelled_Odin_pheeseq_45_labelled_mB2.wav,Odin,Nougatti,before,partner,Odin-Nougatti,0.75610733,3.2282844,UMAP
3464,before_trills_2022-03-22_10-06-17_0000106_labelled_Olympia_pheeseq_14_labelled_mB1.wav,Olympia,Tabor,before,non-partner,Wuschel-Olympia,-0.582302,3.6708977,UMAP
3465,before_trills_2022-03-22_10-06-17_0000106_labelled_Olympia_pheeseq_14_labelled_mB2.wav,Olympia,Tabor,before,non-partner,Wuschel-Olympia,-4.520059,4.5868373,UMAP
3466,before_trills_2022-03-22_14-08-31_0000109_labelled_Nougatti_pheeseq_02_labelled_mB1.wav,Nougatti,Tabor,before,non-partner,Odin-Nougatti,7.787472,1.948506,UMAP
3467,before_trills_2022-03-22_14-08-31_0000109_labelled_Nougatti_pheeseq_04_labelled_mB1.wav,Nougatti,Tabor,before,non-partner,Odin-Nougatti,6.92911,2.2897778,UMAP
3468,before_trills_2022-03-22_14-08-31_0000109_labelled_Nougatti_pheeseq_04_labelled_mB2.wav,Nougatti,Tabor,before,non-partner,Odin-Nougatti,6.6725907,2.9134693,UMAP
