pair,stage,session_focal,session_partner,sess_pair,metric,distance,z_distance,distance_01
Tabor-Lola,before,5.0,4.0,"(5.0,4.0)",spectro_DTW,0.011281711116320278,0.04222592819852132,0.5039868069360418
Tabor-Lola,before,5.0,5.0,"(5.0,5.0)",T_PC_pairwise,4.348651092312265,0.4878466189068612,0.5383487369426005
Tabor-Lola,before,5.0,5.0,"(5.0,5.0)",M_PC_pairwise,15.519780145475641,0.9678691111490322,0.7179321878042325
Tabor-Lola,before,5.0,5.0,"(5.0,5.0)",spectro_DTW,0.009317932388963895,-0.5105600918107229,0.36052362687920364
Tabor-Lola,before,5.0,6.0,"(5.0,6.0)",T_PC_pairwise,4.5801470774774184,0.7615343851736884,0.6057537897996833
Tabor-Lola,before,5.0,6.0,"(5.0,6.0)",M_PC_pairwise,17.353866890647378,1.6188939858746318,0.8841990922095965
Tabor-Lola,before,5.0,6.0,"(5.0,6.0)",spectro_DTW,0.013091374764627574,0.5516299418828269,0.6361911628559789
Tabor-Lola,before,6.0,1.0,"(6.0,1.0)",T_PC_pairwise,5.04995352477945,1.3169663813187409,0.7425480775727503
Tabor-Lola,before,6.0,1.0,"(6.0,1.0)",M_PC_pairwise,16.171074349698618,1.1990515941095476,0.7769744721882077
Tabor-Lola,before,6.0,1.0,"(6.0,1.0)",spectro_DTW,0.017466676751305484,1.7832380339055578,0.9558273458809423
Tabor-Lola,before,6.0,3.0,"(6.0,3.0)",T_PC_pairwise,5.192758332674666,1.4857983757791282,0.7841287797933759
Tabor-Lola,before,6.0,3.0,"(6.0,3.0)",M_PC_pairwise,14.569641502713134,0.630609222812348,0.631798524113618
Tabor-Lola,before,6.0,3.0,"(6.0,3.0)",spectro_DTW,0.018071328888916747,1.9534421633138475,1.0
Tabor-Lola,before,6.0,4.0,"(6.0,4.0)",T_PC_pairwise,4.206031752400191,0.31923389528170754,0.49682203772854167
Tabor-Lola,before,6.0,4.0,"(6.0,4.0)",M_PC_pairwise,14.781053461034288,0.7056517168731375,0.6509638182071876
Tabor-Lola,before,6.0,4.0,"(6.0,4.0)",spectro_DTW,0.014634307096782402,0.9859514930606568,0.7489095541390078
Tabor-Lola,before,6.0,5.0,"(6.0,5.0)",T_PC_pairwise,4.9127950009439685,1.1548097461347335,0.7026114128295827
Tabor-Lola,before,6.0,5.0,"(6.0,5.0)",M_PC_pairwise,15.912757524391406,1.1073598138391465,0.7535570743946101
Tabor-Lola,before,6.0,5.0,"(6.0,5.0)",spectro_DTW,0.013432353694363967,0.647612438714195,0.6611012613874019
Tabor-Lola,before,6.0,6.0,"(6.0,6.0)",T_PC_pairwise,5.08571419111537,1.3592446820966526,0.7529605674604586
Tabor-Lola,before,6.0,6.0,"(6.0,6.0)",M_PC_pairwise,17.136044509302963,1.5415760569923196,0.8644526690092317
Tabor-Lola,before,6.0,6.0,"(6.0,6.0)",spectro_DTW,0.017752944160611725,1.8638197306335702,0.9767405130894456
Tabor-Lola,after,2.0,2.0,"(2.0,2.0)",T_PC_pairwise,4.643965546540518,0.8369842217312753,0.624335914571253
Tabor-Lola,after,2.0,2.0,"(2.0,2.0)",M_PC_pairwise,17.586285722032432,1.7013930503189132,0.9052687388452505
Tabor-Lola,after,2.0,2.0,"(2.0,2.0)",spectro_DTW,0.01581016122527289,1.3169438369255444,0.8348111734030571
Tabor-Lola,after,2.0,3.0,"(2.0,3.0)",T_PC_pairwise,4.995017554647655,1.2520179419652653,0.7265522840912911
Tabor-Lola,after,2.0,3.0,"(2.0,3.0)",M_PC_pairwise,18.42290295459136,1.998357537115286,0.9811112570881543
