pair,stage,session_focal,session_partner,metric,distance,z_distance,distance_01
Odin-Nougatti,before,1.0,3.0,repeat_A_len,0.21619230536967815,-0.7069923328396891,0.1911131855958326
Odin-Nougatti,before,1.0,4.0,local_alignment,-2.3696286051163753,0.8975306564503689,0.44952938569198564
Odin-Nougatti,before,1.0,4.0,transition_matrix,1.5146909086519382,0.2015243375838441,0.6773423392852767
Odin-Nougatti,before,1.0,4.0,bigram,0.42439712613279906,0.28419734442699723,0.4535209070850927
Odin-Nougatti,before,1.0,4.0,repeat_A_len,0.1767104399322754,-0.8460248131609298,0.15620015230075382
Odin-Nougatti,before,1.0,5.0,local_alignment,-2.5544871213604603,0.07838535493396936,0.2884096840325571
Odin-Nougatti,before,1.0,5.0,transition_matrix,1.869245600001972,1.0404046258884614,0.8522205368112723
Odin-Nougatti,before,1.0,5.0,bigram,0.27676593066247623,-0.794261321933727,0.23607885041935653
Odin-Nougatti,before,1.0,5.0,repeat_A_len,0.32827831544933,-0.31228970625298746,0.290228629065133
Odin-Nougatti,before,1.0,6.0,local_alignment,-2.6691431274511093,-0.4296784908007872,0.18847735811041783
Odin-Nougatti,before,1.0,6.0,transition_matrix,1.5379633668303905,0.2565872288742129,0.6888210917529147
Odin-Nougatti,before,1.0,6.0,bigram,0.302855659520747,-0.6036735935029856,0.2745057173340406
Odin-Nougatti,before,1.0,6.0,repeat_A_len,0.15358634056167203,-0.927454625432265,0.13575196824712582
Odin-Nougatti,before,2.0,1.0,local_alignment,-2.41160224261884,0.7115370184710497,0.41294584012771957
Odin-Nougatti,before,2.0,1.0,transition_matrix,1.5606266547626166,0.3102088166809501,0.6999993811403976
Odin-Nougatti,before,2.0,1.0,bigram,0.5422163747987343,1.1448771579521109,0.6270537411390086
Odin-Nougatti,before,2.0,1.0,repeat_A_len,0.3299721730390264,-0.3063249115454065,0.2917264738546593
Odin-Nougatti,before,2.0,2.0,local_alignment,-2.292201625389696,1.240625191353866,0.5170134926047628
Odin-Nougatti,before,2.0,2.0,transition_matrix,1.454711902496038,0.05961335120061113,0.6477586932587482
Odin-Nougatti,before,2.0,2.0,bigram,0.2857599043250158,-0.7285595655367483,0.24932583473422107
Odin-Nougatti,before,2.0,2.0,repeat_A_len,0.8955444770172133,1.6852962885155691,0.7918508844114821
Odin-Nougatti,before,2.0,3.0,local_alignment,-2.7064740322789076,-0.5950992456156217,0.15594034347491362
Odin-Nougatti,before,2.0,3.0,transition_matrix,2.049922626464342,1.467888452069569,0.9413364715117453
Odin-Nougatti,before,2.0,3.0,bigram,0.41342528496340714,0.20404709462804646,0.4373607743862962
Odin-Nougatti,before,2.0,3.0,repeat_A_len,0.4070886490627304,-0.03476492276503927,0.359919049488741
Odin-Nougatti,before,2.0,4.0,local_alignment,-2.2110215864212286,1.6003502873301572,0.5877687054294182
Odin-Nougatti,before,2.0,4.0,transition_matrix,1.7673347793279637,0.7992825064691718,0.8019547215148931
Odin-Nougatti,before,2.0,4.0,bigram,0.639472612068551,1.855342392668396,0.7702998632620994
Odin-Nougatti,before,2.0,4.0,repeat_A_len,0.47136525507713667,0.19158040975180127,0.4167575818380688
Odin-Nougatti,before,2.0,5.0,local_alignment,-2.3754597469745153,0.8716916929413028,0.4444470564836477
Odin-Nougatti,before,2.0,5.0,transition_matrix,2.16885928941551,1.7492939010471527,1.0
