AA,AK,AP,AR,AS,AT,KA,KK,KP,KR,KS,KT,PA,PK,PP,PR,PS,PT,RA,RK,RP,RR,RS,RT,SA,SK,SP,SR,SS,ST,TA,TK,TP,TR,TS,TT
0.6999650017499125,0.0,0.049997500124993745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049997500124993745,0.0,0.0,0.0,0.0,0.0,0.19999000049997498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5263019394226468,0.0,0.05263019394226468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263019394226468,0.0,0.0,0.0,0.0,0.0,0.23683587274019105,0.0,0.0,0.0,0.0,0.0,0.02631509697113234,0.0,0.0,0.05263019394226468,0.05263019394226468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5652051042368644,0.0,0.043477315710528035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2608638942631682,0.0,0.0,0.0,0.0,0.0,0.043477315710528035,0.0,0.0,0.0,0.08695463142105607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6153372817475579,0.0,0.2307514806553342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15383432043688947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19998000199980004,0.0,0.4999500049995001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999000099990002,0.0,0.0,0.0,0.0,0.0,0.19998000199980004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.521731569107694,0.014492543586324834,0.23188069738119735,0.0,0.014492543586324834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18840306662222286,0.0,0.014492543586324834,0.0,0.0,0.0,0.014492543586324834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45054449951099435,0.021977780463950946,0.17582224371160757,0.0,0.0,0.010988890231975473,0.0,0.0,0.0,0.0,0.0,0.0,0.17582224371160757,0.0,0.16483335347963207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.659075930092498,0.0,0.1363605372605168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1363605372605168,0.0,0.0681802686302584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4931439295352118,0.013698442487089218,0.17807975233215984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19177819481924904,0.0,0.09588909740962452,0.0,0.013698442487089218,0.0,0.013698442487089218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5714217687884667,0.03571386054927917,0.17856930274639587,0.0,0.0,0.0,0.0,0.05952310091546529,0.0,0.0,0.0,0.011904620183093058,0.07142772109855834,0.023809240366186115,0.03571386054927917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904620183093058,0.0,0.0,0.0,0.0
0.7199856002879943,0.05999880002399952,0.11999760004799905,0.0,0.0,0.0,0.0,0.01999960000799984,0.0,0.0,0.0,0.0,0.05999880002399952,0.0,0.01999960000799984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4999861114969029,0.0,0.1666620371656343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11110802477708953,0.0,0.11110802477708953,0.0,0.0,0.0,0.11110802477708953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35384071014292084,0.030768757403732246,0.19999692312425962,0.0,0.0,0.015384378701866123,0.0,0.0,0.0,0.0,0.0,0.0,0.1846125444223935,0.0,0.16922816572052737,0.0,0.0,0.015384378701866123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384378701866123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384378701866123
0.9999000099990002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.857020425653478,0.0,0.142836737608913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
