A_run_length_2,A_run_length_3,A_run_length_4,A_run_length_5
0.3749531308586427,0.3749531308586427,0.2499687539057618,0.0
0.1249843769528809,0.7499062617172854,0.1249843769528809,0.0
0.44439506721475397,0.44439506721475397,0.11109876680368849,0.0
0.428510212826739,0.428510212826739,0.142836737608913,0.0
0.5998800239952009,0.3999200159968006,0.0,0.0
0.3999600039996001,0.19998000199980004,0.3999600039996001,0.0
0.6665555740709881,0.0,0.33327778703549404,0.0
0.2142704092564817,0.7142346975216056,0.07142346975216056,0.0
0.19046712061330412,0.5237845816865864,0.28570068091995615,0.0
0.0909008271975275,0.8181074447777476,0.0909008271975275,0.0
0.2142704092564817,0.4285408185129634,0.28569387900864224,0.07142346975216056
